task,subj,baseline,proactive,reactive
Stern,DMCC1971064,0.25,0.666666666666667,0.25
Stern,DMCC2442951,0.333333333333333,0.25,0.0833333333333333
Stern,DMCC2609759,0,0,0.166666666666667
Stern,DMCC2803654,0.25,0.25,0.25
Stern,DMCC2834766,0.166666666666667,0.25,0
Stern,DMCC3062542,0.166666666666667,0,0.25
Stern,DMCC3963378,0.333333333333333,0.5,0.25
Stern,DMCC4191255,0.333333333333333,0.0833333333333333,0
Stern,DMCC5195268,0.166666666666667,0,0.0833333333333333
Stern,DMCC5775387,-0.166666666666667,0.5,0.333333333333333
Stern,DMCC6418065,0.166666666666667,0.25,0.0833333333333333
Stern,DMCC6484785,0.166666666666667,0.583333333333333,0.0833333333333333
Stern,DMCC6627478,0.333333333333333,-0.0833333333333333,0
Stern,DMCC6671683,0.25,0.5,0.25
Stern,DMCC6705371,0.166666666666667,0.333333333333333,0.166666666666667
Stern,DMCC6721369,0.416666666666667,0.5,-0.0833333333333333
Stern,DMCC7921988,0,0.0833333333333333,0.166666666666667
Stern,DMCC8050964,0.166666666666667,0.333333333333333,0.166666666666667
Stern,DMCC8078683,0.333333333333333,0.666666666666667,0.0833333333333333
Stern,DMCC8214059,0,-0.0833333333333333,0.0833333333333333
Stern,DMCC8260571,-0.0833333333333333,0.583333333333333,0
Stern,DMCC9441378,0.166666666666667,0,0
Stern,DMCC9478705,0.333333333333333,0.416666666666667,0.166666666666667
Stroop,107321,0.0555555555555556,0.00934579439252336,0.0416666666666667
Stroop,115825,0.0571428571428571,0.037037037037037,0.0972222222222222
Stroop,123117,0.0193121693121693,0.0193920335429769,0.0307971014492754
Stroop,130114,0.0277777777777778,-0.0182539682539683,0
Stroop,130518,0,0.00934579439252336,0.0138888888888889
Stroop,132017,0,0,0
Stroop,135730,0.0740740740740741,0.0555555555555556,0.0277777777777778
Stroop,138837,0.142857142857143,0.0571428571428571,0.0985915492957746
Stroop,141422,-0.00925925925925926,0.00925925925925926,0.0138888888888889
Stroop,150423,0,0.00925925925925926,0.0140845070422535
Stroop,155938,0.0185185185185185,0.026984126984127,0.0277777777777778
Stroop,158136,0.0277777777777778,-0.0285714285714286,0.0138888888888889
Stroop,160830,0.0455974842767296,0.07369826435247,-0.0507246376811594
Stroop,161832,0.101851851851852,0.00925925925925926,0.0138888888888889
Stroop,165032,0.0193121693121693,-0.0179127725856698,0.0138888888888889
Stroop,173738,0.0277777777777778,0,0.0277777777777778
Stroop,178243,0.0326012354152368,0.104761904761905,0.154929577464789
Stroop,178647,0.351851851851852,0.0555555555555556,0.0555555555555556
Stroop,178950,0,0,0.0138888888888889
Stroop,182436,0.0833333333333333,0.0925925925925926,0.125
Stroop,197449,0.206380027739251,0.0186915887850467,0.0428571428571429
Stroop,203418,0.0277777777777778,0,0
Stroop,204319,0,0.0277777777777778,0
Stroop,300618,0,0.00925925925925926,0
Stroop,317332,0,0.0186915887850467,0
Stroop,346945,0,0,-0.0416666666666667
Stroop,393550,0,0.00934579439252336,0.0138888888888889
Stroop,448347,0.0462962962962963,0,0.0277777777777778
Stroop,562345,0,0.0277777777777778,0
Stroop,580650,0,0.0185185185185185,0.138888888888889
Stroop,594156,0,0,0
Stroop,601127,0.0555555555555556,0.0285714285714286,0.0422535211267606
Stroop,672756,-0.00925925925925926,0,0
Stroop,765864,0.0555555555555556,0,0
Stroop,814649,0.00145687645687646,-0.0185185185185185,0.0416666666666667
Stroop,849971,0,0,0
Stroop,877168,0.0193121693121693,0.00925925925925926,0.0138888888888889
Stroop,DMCC1328342,0.0833333333333333,0.0277777777777778,0.0138888888888889
Stroop,DMCC1596165,0.0277777777777778,0.00925925925925926,0.0416666666666667
Stroop,DMCC1971064,0,0.00925925925925926,0
Stroop,DMCC2442951,0,-0.0185185185185185,0
Stroop,DMCC2609759,0,0,0.0555555555555556
Stroop,DMCC2803654,0,0.00925925925925926,0.0277777777777778
Stroop,DMCC2834766,0.0185185185185185,0,0.0277777777777778
Stroop,DMCC3062542,0.0277777777777778,0,0
Stroop,DMCC3963378,0,0,0
Stroop,DMCC4191255,-0.0277777777777778,0.00925925925925926,0
Stroop,DMCC5195268,-0.00925925925925926,0.0185185185185185,0
Stroop,DMCC5775387,0.0555555555555556,0.037037037037037,-0.0277777777777778
Stroop,DMCC6418065,0,0,0
Stroop,DMCC6484785,0,0.00925925925925926,0
Stroop,DMCC6627478,0.0277777777777778,0,0
Stroop,DMCC6671683,0,0.00925925925925926,0.0138888888888889
Stroop,DMCC6705371,0.0555555555555556,0.00925925925925926,0
Stroop,DMCC6721369,0.0555555555555556,0.0277777777777778,0.0277777777777778
Stroop,DMCC7921988,0.111111111111111,0.037037037037037,-0.0694444444444445
Stroop,DMCC8050964,0.0277777777777778,0.00925925925925926,0.0138888888888889
Stroop,DMCC8078683,0.0277777777777778,0.00925925925925926,0
Stroop,DMCC8214059,0,0,-0.0416666666666667
Stroop,DMCC8260571,0,0.00925925925925926,0
Stroop,DMCC9441378,0.0555555555555556,0.0555555555555556,0.0277777777777778
Stroop,DMCC9478705,0,0.018951194184839,0.0277777777777778
